Ray Number,Pos X,Pos Y,Pos Z,Cos X,Cos Y,Cos Z,Element,Event
41,-4.96867704391,5.67145889363e-07,55.3569869995,0,0,0,127,ABSORB
42,-1.76177334785,-1.2802208662,64.9033432007,0,0,0,-1,CREATE
42,-1.76317441463,7.46912434124e-08,64.0278549194,0,0,0,127,ABSORB
43,24.7500553131,-23.6714820862,32.0427093506,0,0,0,-1,CREATE
43,24.7339668274,18.3906459808,1.09675312042,0,0,0,52,REFLECT
44,-17.561756134,-21.8958702087,34.6822509766,0,0,0,-1,CREATE
44,-18.568063736,27.9715614319,1.35478007793,0,0,0,77,REFLECT
45,-0.690588891506,-4.64004421234,59.9750213623,0,0,0,-1,CREATE
45,-0.679955005646,-2.58821273746e-07,56.8332481384,0,0,0,127,ABSORB
46,1.71957802773,-20.7682628632,36.3198013306,0,0,0,-1,CREATE
46,1.70490145683,31.5368766785,0.903189063072,0,0,0,10,REFLECT
47,14.5737953186,-21.6593112946,35.0022392273,0,0,0,-1,CREATE
47,14.5526590347,27.9446907043,0.913657426834,0,0,0,28,ABSORB
48,2.52296638489,-3.29469347,61.9453811646,0,0,0,-1,CREATE
48,2.52744746208,6.70041799822e-09,59.7081871033,0,0,0,127,ABSORB
49,-15.9549770355,-23.9113864899,31.7250022888,0,0,0,-1,CREATE
49,-15.9595451355,23.7875385284,-1.06121301651,0,0,0,98,REFLECT
50,-3.90414404869,-0.945032954216,65.3967132568,0,0,0,-1,CREATE
50,-3.9064078331,4.05463396191e-08,64.7504653931,0,0,0,127,ABSORB
51,14.0382032394,-23.3396396637,32.5383644104,0,0,0,-1,CREATE
51,14.1689577103,25.0994606018,-0.603873372078,0,0,0,44,REFLECT
52,0.380597501993,-2.28745746613,63.4243621826,0,0,0,-1,CREATE
52,0.373379170895,1.25625007286e-07,61.8629570007,0,0,0,127,ABSORB
53,-27.7380142212,-26.2681541443,28.2785110474,0,0,0,-1,CREATE
53,-27.830947876,14.9303512573,0.30036252737,0,0,0,108,REFLECT
54,-18.0973491669,-23.5761985779,32.2183761597,0,0,0,-1,CREATE
54,-18.0480327606,24.5744419098,-0.452592432499,0,0,0,92,ABSORB
55,3.71317005157,-1.61410820484,64.4090805054,0,0,0,-1,CREATE
55,3.70835065842,-5.21645731055e-08,63.3114242554,0,0,0,127,ABSORB
56,15.7640028,-21.3228206635,35.4947242737,0,0,0,-1,CREATE
56,15.8334217072,28.5486392975,1.45760202408,0,0,0,29,REFLECT
57,-24.4054374695,-27.61095047,26.3064098358,0,0,0,-1,CREATE
57,-24.418838501,12.5776472092,-1.31330263615,0,0,0,124,REFLECT
58,-2.71393847466,-4.30481004715,60.4683609009,0,0,0,-1,CREATE
58,-2.73083853722,6.9050656748e-08,57.5339279175,0,0,0,127,ABSORB
59,-14.7647714615,-22.3988132477,33.9423027039,0,0,0,-1,CREATE
59,-14.99472332,26.9648399353,0.492123961449,0,0,0,84,ABSORB
60,17.3707790375,-22.8343029022,33.2766799927,0,0,0,-1,CREATE
60,17.5497398376,25.4917316437,0.162121742964,0,0,0,41,ABSORB
61,28.0826320648,-25.5183143616,29.3314037323,0,0,0,-1,CREATE
61,28.260848999,16.024143219,1.0034327507,0,0,0,55,REFLECT
62,1.57080113888,-1.11090815067,65.1488571167,0,0,0,-1,CREATE
62,1.56790435314,2.16410711573e-08,64.3939743042,0,0,0,127,ABSORB
63,-16.9071426392,-24.4157943726,30.9860515594,0,0,0,-1,CREATE
63,-16.947473526,23.194858551,-1.27609324455,0,0,0,97,ABSORB
64,-26.5478076935,-27.107749939,27.0461845398,0,0,0,-1,CREATE
64,-26.6172561646,13.2618980408,-0.62686175108,0,0,0,118,ABSORB
65,-4.85630941391,-3.80160975456,61.2081375122,0,0,0,-1,CREATE
65,-4.84706401825,1.20419826999e-07,58.6277885437,0,0,0,127,ABSORB
66,-12.0868082047,-21.7257194519,34.9272003174,0,0,0,-1,CREATE
66,-12.160569191,28.442741394,0.998708069324,0,0,0,81,REFLECT
67,-1.64275217056,-5.14445209503,59.2360687256,0,0,0,-1,CREATE
67,-1.62775611877,1.82411383776e-07,55.7104492188,0,0,0,127,ABSORB
68,0.767412781715,-21.2726707458,35.5808486938,0,0,0,-1,CREATE
68,0.875495791435,30.4815864563,0.293710649014,0,0,0,15,REFLECT
69,24.8690738678,-27.5357151031,26.3754367828,0,0,0,-1,CREATE
69,24.889005661,12.9602451324,-1.15494179726,0,0,0,74,REFLECT
70,-0.571567714214,-2.7918651104,62.6854095459,0,0,0,-1,CREATE
70,-0.575847089291,1.26913846543e-07,60.7823600769,0,0,0,127,ABSORB
71,-12.6224002838,-23.4060497284,32.4633216858,0,0,0,-1,CREATE
71,-12.5127887726,25.0974712372,-0.704077124596,0,0,0,96,REFLECT
72,0.231820583344,-22.9530010223,33.116973877,0,0,0,-1,CREATE
72,0.355928361416,27.6077861786,-1.31281113625,0,0,0,24,ABSORB
73,13.0860376358,-23.8440475464,31.7994098663,0,0,0,-1,CREATE
73,12.9477939606,24.634016037,-1.04868555069,0,0,0,48,REFLECT
74,-1.37495601177,-20.2654342651,37.0598335266,0,0,0,-1,CREATE
74,-1.59870278835,32.2672843933,1.17862534523,0,0,0,3,REFLECT
75,-3.78512310982,-4.80926418304,59.7294425964,0,0,0,-1,CREATE
75,-3.78596401215,1.4397150494e-07,56.421169281,0,0,0,127,ABSORB
76,-3.42806148529,-2.12093162537,63.6717758179,0,0,0,-1,CREATE
76,-3.4325928688,8.01252895144e-08,62.2304725647,0,0,0,127,ABSORB
77,-17.0856723785,-21.3916473389,35.4213294983,0,0,0,-1,CREATE
77,-16.8995761871,28.3828201294,1.41055428982,0,0,0,78,REFLECT
78,2.19565868378,-22.2801856995,34.1020584106,0,0,0,-1,CREATE
78,2.28851056099,28.8075332642,-0.5954002738,0,0,0,21,REFLECT
79,2.99904704094,-3.50452280045,61.6372528076,0,0,0,-1,CREATE
79,3.00548553467,9.41487314776e-08,59.2481918335,0,0,0,127,ABSORB
80,-17.6212654114,-22.7779560089,33.3886604309,0,0,0,-1,CREATE
80,-17.5782966614,25.8378410339,0.158116400242,0,0,0,87,REFLECT
81,4.07023143768,-4.84820127487,59.6657524109,0,0,0,-1,CREATE
81,4.05233287811,-2.31139893003e-07,56.3500404358,0,0,0,127,ABSORB
82,-24.0483760834,-25.4686565399,29.4479389191,0,0,0,-1,CREATE
82,-23.8652133942,16.954957962,0.417215883732,0,0,0,111,REFLECT
83,14.5142831802,-22.5413970947,33.7086486816,0,0,0,-1,CREATE
83,14.2812776566,26.4207420349,0.105357818305,0,0,0,38,REFLECT
84,27.3685092926,-25.2245731354,29.762796402,0,0,0,-1,CREATE
84,27.4020233154,16.645029068,1.04476165771,0,0,0,54,REFLECT
85,0.856678187847,-1.48921406269,64.5946426392,0,0,0,-1,CREATE
85,0.862090706825,4.6853386948e-08,63.5741729736,0,0,0,127,ABSORB
86,4.33802747726,-20.3052062988,36.9967079163,0,0,0,-1,CREATE
86,2.52255797386,31.9584064484,1.14457333088,0,0,0,6,REFLECT
87,-14.9433021545,-22.1048622131,34.3735542297,0,0,0,-1,CREATE
87,-14.957157135,27.3193664551,0.675253987312,0,0,0,84,REFLECT
88,1.9278626442,-4.51301336288,60.159122467,0,0,0,-1,CREATE
88,1.92024290562,3.43315718965e-07,57.0834732056,0,0,0,127,ABSORB
89,-26.1907463074,-25.1334686279,29.9413108826,0,0,0,-1,CREATE
89,-26.0387268066,17.3931045532,1.00289356709,0,0,0,105,REFLECT
90,17.1922492981,-21.5322799683,35.1863441467,0,0,0,-1,CREATE
90,17.2779121399,28.0363445282,1.43194234371,0,0,0,30,REFLECT
91,-22.977191925,-26.4763126373,27.9692420959,0,0,0,-1,CREATE
91,-22.9688606262,15.14057827,-0.511541128159,0,0,0,121,REFLECT
92,-1.28569066525,-3.17017102242,62.1311950684,0,0,0,-1,CREATE
