Ray Number,Pos X,Pos Y,Pos Z,Cos X,Cos Y,Cos Z,Element,Event
1,8.59811638911,-8235.608282,5672.46938957,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
1,3.8893653367,1.88560214826e-16,56.9205779992,-0.000472389998554,0.826210377471,-0.563361508276,127,ABSORB
2,2.90512142467,-8232.35905185,5677.23939417,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
2,-1.80177186383,-2.39180215724e-16,63.9061093515,-0.000472389998554,0.826210377471,-0.563361508276,127,ABSORB
3,3.82975749615,-8252.5764839,5647.58829322,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
3,-0.905870875543,30.040244897,-0.0137946281681,-0.000472389998554,0.826210377471,-0.563361508276,13,ABSORB
4,26.6110607461,-8257.99186749,5639.62713913,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
4,21.8811200303,14.6771479919,-1.19198044068,-0.338606899039,0.209290053654,0.917356550838,72,REFLECT
4,21.8811200303,14.6771479919,-1.19198044068,-0.338606899039,0.209290053654,0.917356550838,-5,EXIT
5,0.0530743042343,-8235.24725643,5673.00602486,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
5,-4.65547032996,1.40627237206e-16,57.7033829296,-0.000472389998554,0.826210377471,-0.563361508276,127,ABSORB
6,5.75317280559,-8232.72007743,5676.70753592,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
6,1.04607309888,-1.91539747546e-16,63.1280814628,-0.000472389998554,0.826210377471,-0.563361508276,127,ABSORB
7,19.4942620767,-8254.38161176,5644.92780771,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
7,14.7604395243,25.0767381601,-0.520701413871,-0.244511509557,0.0515261015288,0.96827639781,44,REFLECT
7,14.7604395243,25.0767381601,-0.520701413871,-0.244511509557,0.0515261015288,0.96827639781,-5,EXIT
8,-8.99143139479,-8254.98332105,5644.06924337,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
8,-13.7250312723,24.0855703067,-1.11370873277,0.124645476108,0.0517651979142,0.990850074214,100,REFLECT
8,-13.7250312723,24.0855703067,-1.11370873277,0.124645476108,0.0517651979142,0.990850074214,-5,EXIT
9,1.47613805741,-8236.20999129,5671.59291133,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
9,-3.23295702536,2.6735160045e-16,55.6338170216,-0.000472389998554,0.826210377471,-0.563361508276,127,ABSORB
10,33.0207672495,-8257.51050006,5640.32772459,-0.000472389998554,0.826210377471,-0.563361508276,-5,CREATE
