92.61,57.92,5.45
82.85,57.92,5.29
73.1,57.92,5.13
63.36,57.92,5.02
53.62,57.94,4.84
43.85,57.93,4.65
34.12,57.94,4.44
24.37,57.93,4.28
14.65,57.94,4.15
4.89,57.93,4.02
-4.84,57.93,3.89
-14.6,57.93,3.76
-24.36,57.91,3.61
-34.11,57.92,3.44
-43.86,57.93,3.29
-53.61,57.91,3.08
-63.36,57.94,2.83
-73.1,57.92,2.77
-82.85,57.92,2.61
-92.61,57.92,2.45
82.85,70.12,5.58
73.1,70.12,5.38
63.38,70.12,5.18
53.61,70.1,4.99
43.85,70.09,4.8
34.11,70.1,4.61
24.36,70.11,4.42
14.63,70.1,4.25
4.88,70.09,4.12
-4.85,70.1,3.97
-14.62,70.1,3.83
-24.35,70.1,3.66
-34.1,70.11,3.49
-43.89,70.09,3.29
-53.63,70.11,3.1
-63.38,70.11,2.88
-73.13,70.11,2.64
-82.85,70.11,2.42
82.87,82.29,5.79
73.15,82.29,5.55
63.39,82.28,5.36
53.63,82.31,5.15
43.89,82.29,4.97
34.13,82.3,4.78
24.36,82.3,4.56
14.67,82.28,4.39
4.92,82.28,4.24
-4.86,82.31,4.07
-14.62,82.3,3.89
-24.32,82.3,3.72
-34.13,82.28,3.56
-43.86,82.31,3.32
-53.56,82.29,3.1
-63.37,82.3,2.92
-73.09,82.29,2.69
-82.86,82.31,2.43
92.61,94.48,6.15
82.87,94.48,5.92
73.13,94.48,5.72
63.38,94.48,5.52
53.62,94.48,5.32
43.88,94.48,5.14
34.11,94.5,4.96
24.39,94.5,4.75
14.63,94.49,4.53
4.89,94.49,4.34
-4.88,94.5,4.19
-14.63,94.49,4.02
-24.38,94.48,3.85
-34.12,94.49,3.62
-43.82,94.48,3.4
-53.6,94.48,3.17
-63.16,94.48,2.95
-73.1,94.5,2.69
-82.85,94.49,2.47
-92.6,94.49,2.22
102.37,107.29,6.52
92.6,107.29,6.3
82.88,107.28,6.07
73.13,107.3,5.9
63.39,107.29,5.71
53.63,107.29,5.5
43.88,107.29,5.29
34.13,107.3,5.11
24.39,107.29,4.92
14.62,107.28,4.72
4.89,107.3,4.48
-4.88,107.3,4.31
-14.64,107.32,4.1
-24.37,107.29,3.9
-34.13,107.29,3.64
-43.86,107.29,3.4
-53.61,107.3,3.18
-63.37,107.3,2.97
-73.11,107.3,2.73
-82.87,107.29,2.52
-92.61,107.29,2.25
-102.38,107.28,2.02
112.17,121.56,6.99
102.37,121.62,6.68
92.6,121.63,6.45
82.9,121.61,6.25
73.13,121.59,6.07
63.39,121.6,5.87
53.64,121.62,5.68
43.86,121.6,5.46
34.12,121.59,5.29
24.39,121.63,5.06
14.62,121.6,4.83
4.86,121.61,4.58
-4.86,121.62,4.36
-14.63,121.6,4.17
-24.35,121.61,3.92
-34.11,121.61,3.71
-43.87,121.59,3.46
-53.6,121.59,3.26
-63.34,121.6,3.01
-73.14,121.62,2.79
-82.85,121.63,2.55
-92.62,121.63,2.33
-102.35,121.63,2.1
-112.12,121.61,1.89
131.64,136.82,7.43
121.88,136.85,7.28
112.15,136.81,7.06
102.35,136.81,6.83
92.62,136.84,6.63
82.88,136.84,6.39
73.13,136.84,6.17
63.38,136.85,5.94
53.63,136.84,5.74
43.87,136.85,5.5
34.13,136.84,5.27
24.38,136.84,5.05
14.63,136.85,4.84
4.88,136.84,4.59
-4.87,136.85,4.4
-14.63,136.85,4.18
-24.38,136.84,3.92
-34.13,136.82,3.69
-43.88,136.85,3.51
-53.62,136.85,3.22
-63.38,136.86,3.01
-73.12,136.88,2.81
-82.85,136.87,2.54
-92.63,136.86,2.28
-102.36,136.87,2.06
-112.13,136.85,1.86
-121.88,136.86,1.71
-131.62,136.87,1.51
131.63,154.52,7.63
121.89,154.54,7.36
112.14,154.51,7.16
102.38,154.52,6.92
92.61,154.54,6.7
82.87,154.52,6.46
73.13,154.51,6.21
63.39,154.52,5.98
53.61,154.52,5.76
43.87,154.53,5.54
34.13,154.51,5.31
24.39,154.52,5.09
14.62,154.51,4.85
4.87,154.52,4.65
-4.89,154.52,4.44
-14.63,154.52,4.19
-24.38,154.53,3.95
-34.12,154.51,3.73
-43.88,154.52,3.48
-53.62,154.51,3.24
-63.38,154.51,3.02
-73.12,154.51,2.81
-82.89,154.52,2.55
-92.62,154.52,2.35
-102.37,154.53,2.11
-112.13,154.54,1.85
-121.9,154.54,1.71
-131.64,154.54,1.54
131.64,173.71,7.69
121.9,173.72,7.42
112.12,173.72,7.17
102.38,173.7,6.93
92.62,173.7,6.72
82.89,173.72,6.48
73.13,173.71,6.25
63.38,173.71,6
53.63,173.72,5.79
43.86,173.71,5.57
34.11,173.71,5.35
24.39,173.73,5.12
14.62,173.72,4.89
4.84,173.72,4.7
-4.89,173.72,4.45
-14.61,173.7,4.24
-24.36,173.73,4.02
-34.12,173.75,3.79
-43.85,173.74,3.55
-53.63,173.71,3.33
-63.38,173.75,3.07
-73.1,173.76,2.86
-82.88,173.73,2.62
-92.67,173.72,2.36
-102.38,173.73,2.14
-112.12,173.72,1.92
-121.88,173.73,1.74
-131.62,173.72,1.57
53.63,194.73,5.86
43.87,194.73,5.63
34.1,194.74,5.41
24.39,194.73,5.17
14.62,194.76,4.94
4.91,194.76,4.74
-4.88,194.71,4.54
-14.65,194.74,4.31
-24.41,194.71,4.13
-34.13,194.77,3.83
-43.88,194.75,3.59
-53.63,194.75,3.34
